total,intExpID,type,column,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,play_Pos,RTT,Clae,Duanmu,Yin,Yu,P1203,rtt_qos,tp_qos,p_qos
16,102,driving,1,3,1,16,41400,1265,456,1801,2727,1725,431270,2000,exponential,2000,736,414,736x414,30000,24.179,1.571,68.116,38619.974,-17.649,2.322,23.517,363668.1607,150
17,102,driving,1,3,1,17,44176,1595,775,2422,3429,2735,683798,2000,exponential,2000,1280,720,1280x720,32000,17.08,1.614,66.577,38462.308,-17.888,2.29,18.315,441547.1492,228
18,102,driving,1,3,1,18,47870,2576,1694,2422,2217,2856,714153,2000,exponential,2000,1280,720,1280x720,34000,49.863,1.653,68.406,44598.675,-17.63,2.213,33.285,288020.1137,248
19,102,driving,1,3,1,19,51558,2560,1688,2422,2362,3024,756120,2000,exponential,2000,1280,720,1280x720,36000,15.3,1.69,69.521,49760.042,-17.574,2.174,15.046,303287.7766,263
20,102,driving,1,3,1,20,54973,2232,1414,2422,2591,2891,722967,2000,exponential,2000,1280,720,1280x720,38000,17.392,1.725,68.745,51342.409,-17.619,2.134,25.679,331887.1201,251
21,102,driving,1,3,1,21,56229,196,0,1801,22502,2205,551309,2744,exponential,2000,736,414,736x414,40000,18.494,1.699,65.847,47458.71,-18.01,2.12,23.226,3960163.711,91
22,102,driving,1,3,1,22,60353,2989,1380,4375,4373,6536,1634147,2000,exponential,2000,1920,1080,1920x1080,42000,40.84,1.756,66.324,49158.044,-17.976,2.081,28.942,562965.6803,473
23,102,driving,1,3,1,23,64286,2712,1932,4375,4165,5648,1412035,2000,exponential,2000,1920,1080,1920x1080,44000,57.419,1.817,69.235,59329.063,-17.526,2.044,29.343,552785.6332,412
24,102,driving,1,3,1,24,68315,2808,2029,4375,4411,6194,1548563,2000,exponential,2000,1920,1080,1920x1080,46000,19.847,1.88,70.32,65651.082,-17.422,2.025,14.28,562397.6905,403
25,102,driving,1,3,1,25,72324,2776,2008,3918,3582,4972,1243243,2000,exponential,2000,1920,1080,1920x1080,48000,56.623,1.948,70.466,69340.905,-17.384,1.993,30.621,464103.3498,364
26,102,driving,1,3,1,26,76342,2808,2018,3918,3449,4842,1210683,2000,exponential,2000,1920,1080,1920x1080,50000,57.927,2.013,70.546,73226.326,-17.354,1.964,30.524,451420.8173,376
27,102,driving,1,3,1,27,80262,2737,1919,3091,2713,3714,928511,2000,exponential,2000,1280,720,1280x720,52000,28.031,2.059,70.302,75224.717,-17.364,1.938,12.918,351725.2349,322
28,102,driving,1,3,1,28,83671,2136,1408,3091,3391,3621,905462,2000,exponential,2000,1280,720,1280x720,54000,66.279,2.102,69.549,76486.623,-17.422,1.918,25.563,449733.0457,280
29,102,driving,1,3,1,29,87047,2008,1376,3091,3322,3335,833850,2000,exponential,2000,1280,720,1280x720,56000,68.154,2.142,68.919,77949.529,-17.499,1.899,16.515,437759.1423,289
30,102,driving,1,3,1,30,88475,117,0,3091,51969,3040,760048,2573,exponential,2000,1280,720,1280x720,58000,21.644,2.18,67.502,76817.435,-17.98,1.898,11.352,11687845.9,80
31,102,driving,1,3,1,31,92142,2357,1094,4375,2840,3348,837012,2000,exponential,2000,1920,1080,1920x1080,60000,53.787,2.226,67.51,79063.341,-18.223,1.88,24.243,371951.3658,290
32,102,driving,1,3,1,32,95943,2513,1801,4375,3093,3886,971715,2000,exponential,2000,1920,1080,1920x1080,62000,39.873,2.272,69.423,88841.36,-17.43,1.863,23.31,402703.5896,311
33,102,driving,1,3,1,33,99724,2462,1780,4375,3685,4536,1134060,2000,exponential,2000,1920,1080,1920x1080,64000,55.251,2.317,70.233,95274.379,-17.312,1.847,20.714,481909.9589,331
34,102,driving,1,3,1,34,102063,1125,339,3091,3233,1818,454739,2000,exponential,2000,1280,720,1280x720,66000,37.649,2.346,68.896,92697.172,-17.599,1.836,17.391,431600.337,159
35,102,driving,1,3,1,35,104519,1220,456,3091,4237,2584,646183,2000,exponential,2000,1280,720,1280x720,68000,52.822,2.374,67.748,91817.078,-18.866,1.825,19.713,582325.7138,170
36,102,driving,1,3,1,36,106590,638,71,3091,4955,1580,395219,2000,exponential,2000,1280,720,1280x720,70000,46.619,2.4,67.518,94104.984,-20.099,1.815,18.988,705595.8118,96
37,102,driving,1,3,1,37,108655,681,64,3918,6643,2262,565512,2000,exponential,2000,1920,1080,1920x1080,72000,74.865,2.441,67.344,96020.89,-41.173,1.806,18.716,983396.1136,113
38,102,driving,1,3,1,38,111033,1032,378,4375,4458,2300,575203,2000,exponential,2000,1920,1080,1920x1080,74000,44.458,2.479,67.784,100860.311,-21.03,1.798,16.838,644802.926,145
39,102,driving,1,3,1,39,112673,184,0,4375,25343,2331,582905,2361,exponential,2000,1920,1080,1920x1080,76000,42.301,2.516,67.953,105043.33,-22.045,1.799,18.664,5565632.367,96
