total,intExpID,type,column,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,play_Pos,RTT,Clae,Duanmu,Yin,Yu,P1203,rtt_qos,tp_qos,p_qos
962,107,driving,1,3,2,19,31896,296,0,1077,8984,1329,332422,7803,arbiter,2000,640,360,640x360,36000,0.28,0.428,51.675,14296.629,0.938,2.64,0.202,1207348.367,93
963,107,driving,1,3,2,20,34769,1606,0,1801,2616,2101,525333,6930,arbiter,2000,736,414,736x414,38000,10.024,0.464,51.999,15374.551,0.981,2.691,9.142,335738.7254,183
964,107,driving,1,3,2,21,36923,903,0,1801,4884,2205,551309,6776,arbiter,2000,736,414,736x414,40000,0.331,0.5,52.273,17175.885,1.02,2.783,0.074,623495.1915,147
965,107,driving,1,3,2,22,39931,1735,0,1801,3202,2778,694520,5769,arbiter,2000,736,414,736x414,42000,9.805,0.537,52.521,18977.219,1.056,2.838,14.429,420162.3092,245
966,107,driving,1,3,2,23,42724,1449,0,1077,2112,1530,382545,4976,arbiter,2000,640,360,640x360,44000,24.318,0.561,52.546,19331.729,1.057,2.75,28.501,280490.0926,134
967,107,driving,1,3,2,24,44773,758,0,1801,6348,2406,601553,4928,arbiter,2000,736,414,736x414,46000,0.346,0.595,52.777,20409.651,1.088,2.808,6.771,866005.552,127
968,107,driving,1,3,2,25,47891,1720,0,2422,3570,3070,767568,3810,arbiter,2000,1280,720,1280x720,48000,27.438,0.601,53.157,22210.985,1.141,2.903,28.256,468839.0571,184
969,107,driving,1,3,2,26,50909,1656,0,2422,3609,2989,747264,2793,arbiter,2000,1280,720,1280x720,50000,15.364,0.616,53.502,24633.352,1.19,2.937,19.455,468230.8459,240
970,107,driving,1,3,2,27,53751,1479,48,1801,2946,2179,544785,2000,arbiter,2000,736,414,736x414,52000,9.269,0.652,53.717,25957.653,161.213,2.753,7.974,378180.7483,190
971,107,driving,1,3,2,28,56073,957,322,2422,5957,2850,712647,2000,arbiter,2000,1280,720,1280x720,54000,0.358,0.672,54.359,28724.987,-22.311,2.705,0.121,759905.8952,199
972,107,driving,1,3,2,29,60108,2548,2034,3918,3317,4225,1056475,2000,arbiter,2000,1920,1080,1920x1080,56000,21.196,0.576,57.036,37105.354,-19.157,2.674,18.888,426487.1063,308
973,107,driving,1,3,2,30,63487,1961,1378,2422,2400,2353,588459,2000,arbiter,2000,1280,720,1280x720,58000,15.633,0.611,58.273,41199.667,-18.974,2.587,18.752,309602.2223,205
974,107,driving,1,3,2,31,65438,567,0,2422,6223,1764,441121,2050,arbiter,2000,1280,720,1280x720,60000,0.274,0.647,56.482,37520.034,-19.525,2.612,25.876,828511.6249,95
975,107,driving,1,3,2,32,68108,1322,620,2422,3205,2118,529688,2000,arbiter,2000,1280,720,1280x720,62000,14.272,0.682,55.968,37668.401,-20.853,2.522,18.068,418584.6461,184
976,107,driving,1,3,2,33,71107,1581,999,2422,3245,2565,641296,2000,arbiter,2000,1280,720,1280x720,64000,23.2,0.717,57.039,43087.768,-19.372,2.423,21.531,429071.5274,223
977,107,driving,1,3,2,34,73047,519,0,3091,7009,1818,454739,2060,arbiter,2000,1280,720,1280x720,66000,0.312,0.734,56.798,43650.135,-19.935,2.44,25.592,936340.0248,89
978,107,driving,1,3,2,35,75239,649,131,2422,6204,2013,503338,2000,arbiter,2000,1280,720,1280x720,68000,17.213,0.769,56.231,42798.963,-41.399,2.369,7.599,841820.4523,103
979,107,driving,1,3,2,36,77381,606,142,2422,3950,1197,299282,2000,arbiter,2000,1280,720,1280x720,70000,16.955,0.803,56.512,45647.33,-25.589,2.304,6.125,537110.1981,88
980,107,driving,1,3,2,37,79480,620,99,2422,4629,1435,358755,2000,arbiter,2000,1280,720,1280x720,72000,8.616,0.836,56.641,47973.697,-27.264,2.261,6.031,615499.8886,100
981,107,driving,1,3,2,38,82188,1178,707,3091,2786,1641,410358,2000,arbiter,2000,1280,720,1280x720,74000,9.445,0.857,57.342,52091.064,-20.444,2.202,8.926,360356.0194,143
982,107,driving,1,3,2,39,84116,396,0,2422,6753,1337,334285,2073,arbiter,2000,1280,720,1280x720,76000,0.321,0.889,57.394,53546.892,-20.822,2.21,24.33,922739.9618,68
983,107,driving,1,3,2,40,86469,732,280,2422,3566,1305,326342,2000,arbiter,2000,1280,720,1280x720,78000,19.818,0.92,57.205,54688.259,-26.323,2.157,7.272,476682.2512,114
984,107,driving,1,3,2,41,88298,261,0,3091,15176,1980,495145,2172,arbiter,2000,1280,720,1280x720,80000,18.794,0.942,57.442,57110.626,-26.571,2.164,13.982,2297433.424,130
985,107,driving,1,3,2,42,91203,1299,732,3091,3106,2017,504422,2000,arbiter,2000,1280,720,1280x720,82000,8.136,0.965,57.978,61558.532,-20.848,2.131,6.978,398529.3792,176
986,107,driving,1,3,2,43,94328,1424,1125,3091,3072,2187,546986,2000,arbiter,2000,1280,720,1280x720,84000,26.592,0.99,58.942,68025.438,-19.196,2.081,29.037,407759.98,190
987,107,driving,1,3,2,44,96330,361,2,4375,16825,3036,759245,2000,arbiter,2000,1920,1080,1920x1080,86000,8.226,0.965,58.867,68927.344,-19.859,2.043,11.343,2555229.947,127
988,107,driving,1,3,2,45,99198,1237,868,3918,3758,2324,581165,2000,arbiter,2000,1920,1080,1920x1080,88000,27.563,0.972,59.002,71618.167,-20.427,2.007,17.313,506394.0757,202
989,107,driving,1,3,2,46,101774,886,576,3091,4068,1802,450535,2000,arbiter,2000,1280,720,1280x720,90000,19.21,1.001,59.539,75605.558,-19.454,1.974,7.136,535586.937,157
990,107,driving,1,3,2,47,104009,614,234,3091,6548,2010,502606,2000,arbiter,2000,1280,720,1280x720,92000,0.419,1.03,59.306,76795.464,-20.693,1.945,13.134,874762.0986,104
991,107,driving,1,3,2,48,106365,744,356,3918,6837,2543,635854,2000,arbiter,2000,1920,1080,1920x1080,94000,0.324,1.043,59.457,79227.37,-21.913,1.918,15.705,902496.7473,107
992,107,driving,1,3,2,49,108383,373,17,4375,18648,3477,869463,2000,arbiter,2000,1920,1080,1920x1080,96000,0.347,1.043,59.658,82494.791,-25.104,1.895,17.057,2546493.208,130
993,107,driving,1,3,2,50,110783,843,400,4375,8593,3622,905558,2000,arbiter,2000,1920,1080,1920x1080,98000,0.254,1.048,60.008,87001.81,-24.239,1.89,17.266,1113982.01,132
994,107,driving,1,3,2,51,112400,43,0,4375,98189,2111,527767,2384,arbiter,2000,1920,1080,1920x1080,100000,0.341,1.057,60.311,91325.829,-24.73,1.898,0.238,36773227.47,74
995,107,driving,1,3,2,52,114737,615,0,4375,3580,1100,275228,2048,arbiter,2000,1920,1080,1920x1080,102000,5.073,1.069,60.389,94500.848,2.159,1.91,15.262,492973.6521,97
996,107,driving,1,3,2,53,118238,1601,1453,4375,5996,4800,1200140,2000,arbiter,2000,1920,1080,1920x1080,104000,0.373,1.085,61.471,103234.867,-19.373,1.888,3.22,760785.298,264
997,107,driving,1,3,2,54,120433,421,195,4375,29855,6284,1571135,2000,arbiter,2000,1920,1080,1920x1080,106000,0.305,1.102,61.842,108194.886,-19.162,1.87,14.445,4110503.062,154
998,107,driving,1,3,2,55,123825,1632,1392,3091,6579,5369,1342304,2000,arbiter,2000,1280,720,1280x720,108000,0.29,1.133,61.917,109820.679,-19.233,1.846,0.222,829978.7641,270
999,107,driving,1,3,2,56,128466,2675,2640,3918,6275,8393,2098483,2000,arbiter,2000,1920,1080,1920x1080,110000,10.542,1.159,63.369,120247.585,-18.286,1.802,18.341,801227.7785,546
1000,107,driving,1,3,2,57,132485,2142,2018,4375,8047,8619,2154759,2000,arbiter,2000,1920,1080,1920x1080,112000,18.208,1.179,63.898,126044.006,-18.179,1.787,12.832,1036753.796,317
1001,107,driving,1,3,2,58,136528,2190,2043,4375,6635,7266,1816520,2000,arbiter,2000,1920,1080,1920x1080,114000,15.889,1.2,63.809,128628.025,-18.23,1.774,8.347,846480.7875,424
1002,107,driving,1,3,2,59,140545,2272,2017,4375,4678,5314,1328639,2000,arbiter,2000,1920,1080,1920x1080,116000,10.311,1.221,64.013,133000.044,-18.207,1.763,24.96,599108.053,371
1003,107,driving,1,3,2,60,143846,1521,1300,4375,3210,2441,610383,2000,arbiter,2000,1920,1080,1920x1080,118000,6.154,1.244,63.855,135146.063,-18.326,1.749,17.075,411854.4939,212
1004,107,driving,1,3,3,1,92,91,0,239,187,8,2132,2000,arbiter,2000,320,180,320x180,0,44.052,0,51.077,-5760.485,0.24,1.878,0.108,6817391.304,2
1005,107,driving,1,3,3,2,1729,650,0,239,1014,329,82445,4000,arbiter,2000,320,180,320x180,2000,75.994,0.48,46.477,-11520.97,0.24,1.878,44.705,162026.0756,30
1006,107,driving,1,3,3,3,3464,643,0,239,1456,468,117046,4266,arbiter,2000,320,180,320x180,4000,14.967,0.48,46.477,718.545,0.24,1.878,24.084,203724.2932,42
1007,107,driving,1,3,3,4,5230,820,0,378,1715,703,175814,4500,arbiter,2000,384,216,384x216,6000,12.626,0.419,46.817,958.06,0.274,1.891,20.119,230048.1693,62
1008,107,driving,1,3,3,5,6681,485,0,378,1735,420,105237,5049,arbiter,2000,384,216,384x216,8000,0.703,0.436,46.963,1336.637,0.295,1.888,14.376,240210.8279,38
1009,107,driving,1,3,3,6,7826,70,0,572,16954,593,148353,5904,arbiter,2000,512,288,512x288,10000,0.388,0.409,47.306,1715.214,0.341,2.048,4.403,3765039.785,47
1010,107,driving,1,3,3,7,9238,411,0,766,3332,684,171197,6493,arbiter,2000,512,288,512x288,12000,12.025,0.383,47.737,2287.703,0.402,2.096,8.129,465372.6076,61
1011,107,driving,1,3,3,8,11118,792,0,1077,2115,837,209399,6613,arbiter,2000,640,360,640x360,14000,12.033,0.335,48.353,3054.001,0.487,2.245,11.625,281448.88,74
1012,107,driving,1,3,3,9,12934,675,0,1077,2848,961,240377,6797,arbiter,2000,640,360,640x360,16000,12.131,0.356,48.813,4131.923,0.552,2.311,15.87,388202.2653,85
1013,107,driving,1,3,3,10,14862,820,0,1077,2182,894,223707,6870,arbiter,2000,640,360,640x360,18000,12.045,0.393,49.18,5209.845,0.605,2.375,11.689,289088.1581,79
1014,107,driving,1,3,3,11,16631,707,0,1077,2622,927,231774,7102,arbiter,2000,640,360,640x360,20000,0.298,0.434,49.482,6287.767,0.648,2.411,0.141,386648.7784,82
1015,107,driving,1,3,3,12,18523,740,0,1077,2421,895,223944,7210,arbiter,2000,640,360,640x360,22000,0.288,0.475,49.732,7365.689,0.684,2.43,35.967,322538.2693,79
1016,107,driving,1,3,3,13,19876,218,0,2422,17118,1865,466471,7858,arbiter,2000,1280,720,1280x720,24000,0.339,0.303,50.828,8443.611,0.817,2.597,36.731,2682689.047,90
1017,107,driving,1,3,3,14,22042,1117,0,3091,3471,1938,484748,7692,arbiter,2000,1280,720,1280x720,26000,19.481,0.15,51.992,10865.978,0.98,2.754,27.099,464715.4478,169
1018,107,driving,1,3,3,15,23899,689,0,4375,8121,2797,699451,7836,arbiter,2000,1920,1080,1920x1080,28000,7.931,0,53.657,13957.884,1.206,2.977,11.321,1077743.017,158
1019,107,driving,1,3,3,16,27917,2837,0,4375,2686,3810,952635,5819,arbiter,2000,1920,1080,1920x1080,30000,0.403,0,55.043,18332.903,1.404,3.057,0.496,339913.3431,333
1020,107,driving,1,3,3,17,30871,1733,0,1801,2288,1983,495750,4866,arbiter,2000,736,414,736x414,32000,19.473,0,55.38,17560.552,1.428,3.086,28.672,300105.8899,173
1021,107,driving,1,3,3,18,32722,683,0,1801,6100,2083,520801,5015,arbiter,2000,736,414,736x414,34000,0.364,0.02,55.526,19361.886,1.448,3.116,5.734,867781.7954,139
1022,107,driving,1,3,3,19,35449,1452,0,1801,3034,2203,550807,4289,arbiter,2000,736,414,736x414,36000,16.469,0.097,55.656,21163.22,1.467,3.129,21.738,397616.7385,177
1023,107,driving,1,3,3,20,38137,1326,0,1801,3169,2101,525333,3602,arbiter,2000,736,414,736x414,38000,22.604,0.168,55.773,22964.554,1.484,3.133,27.965,421078.4388,183
1024,107,driving,1,3,3,21,39971,608,0,2422,9872,3001,750342,3768,arbiter,2000,1280,720,1280x720,40000,16.15,0.248,56.069,24765.888,1.528,3.204,20.571,1377135.476,124
1025,107,driving,1,3,3,22,43591,2334,0,3091,4002,4670,1167586,2149,arbiter,2000,1280,720,1280x720,42000,10.098,0.317,56.556,27188.255,1.599,3.28,8.496,510734.6066,310
1026,107,driving,1,3,3,23,47380,2545,1640,4375,4438,5648,1412035,2000,arbiter,2000,1920,1080,1920x1080,44000,0.32,0.318,59.538,35200.161,-18.857,3.071,28.622,562932.8846,297
1027,107,driving,1,3,3,24,50758,2139,1377,2422,3192,3414,853629,2000,arbiter,2000,1280,720,1280x720,46000,0.392,0.39,61.407,39800.876,-18.574,2.915,0.54,403832.9426,298
1028,107,driving,1,3,3,25,54374,2293,1616,3091,3456,3963,990771,2000,arbiter,2000,1280,720,1280x720,48000,0.25,0.461,61.586,42151.243,-18.537,2.768,0.1,436580.6584,344
1029,107,driving,1,3,3,26,56131,388,0,1801,11624,2255,563805,2244,arbiter,2000,736,414,736x414,50000,14.11,0.502,59.916,38531.005,-18.862,2.764,12.07,1704012.085,142
1030,107,driving,1,3,3,27,59805,2428,1430,2422,2421,2940,735059,2000,arbiter,2000,1280,720,1280x720,52000,0.251,0.562,59.78,39774.339,-18.959,2.66,35.734,305806.4725,255
1031,107,driving,1,3,3,28,63903,2654,2097,3091,2729,3621,905462,2000,arbiter,2000,1280,720,1280x720,54000,9.136,0.623,62.222,48487.706,-18.451,2.548,10.462,346011.5935,314
1032,107,driving,1,3,3,29,67380,2049,1477,3091,3255,3335,833850,2000,arbiter,2000,1280,720,1280x720,56000,13.153,0.682,62.433,51720.612,-18.417,2.461,15.234,417329.6741,289
1033,107,driving,1,3,3,30,69992,1263,611,3918,6042,3816,954031,2000,arbiter,2000,1920,1080,1920x1080,58000,0.335,0.723,61.325,50354.518,-18.612,2.407,25.725,776355.2906,175
1034,107,driving,1,3,3,31,72194,737,201,4375,9085,3348,837012,2000,arbiter,2000,1920,1080,1920x1080,60000,20.083,0.749,60.579,50444.939,-19.596,2.353,8.967,1228887.633,161
1035,107,driving,1,3,3,32,74792,1143,598,3091,4785,2735,683772,2000,arbiter,2000,1280,720,1280x720,62000,10.169,0.806,60.784,52214.732,-19.652,2.305,8.906,621502.3202,178
1036,107,driving,1,3,3,33,77292,1102,500,3091,5912,3257,814491,2000,arbiter,2000,1280,720,1280x720,64000,18.909,0.861,61.238,56203.638,-19.159,2.235,0.237,766637.4019,190
1037,107,driving,1,3,3,34,79361,770,69,3091,4724,1818,454739,2000,arbiter,2000,1280,720,1280x720,66000,0.278,0.913,60.956,57708.544,-20.566,2.189,7.208,623398.7249,151
1038,107,driving,1,3,3,35,82693,1806,1331,3918,3569,3223,805915,2000,arbiter,2000,1920,1080,1920x1080,68000,0.262,0.957,61.983,63293.45,-18.853,2.153,7.22,456231.8755,274
1039,107,driving,1,3,3,36,84255,74,0,4375,59481,2200,550206,2439,arbiter,2000,1920,1080,1920x1080,70000,0.428,0.99,62.31,67004.871,-18.884,2.161,0.22,9474147.131,66
1040,107,driving,1,3,3,37,86494,790,0,2422,3632,1435,358755,2200,arbiter,2000,1280,720,1280x720,72000,0.325,1.025,61.294,63481.586,2.264,2.068,10.42,476331.255,125
1041,107,driving,1,3,3,38,88336,332,0,3091,9888,1641,410358,2359,arbiter,2000,1280,720,1280x720,74000,0.294,1.071,61.439,65903.953,2.286,2.177,10.75,1381353.224,129
1042,107,driving,1,3,3,39,91192,1391,497,4375,3352,2331,582905,2000,arbiter,2000,1920,1080,1920x1080,76000,0.26,1.104,62.194,70486.859,-21.384,2.038,23.474,428965.5152,203
1043,107,driving,1,3,3,40,93606,967,413,4375,4930,2383,595956,2000,arbiter,2000,1920,1080,1920x1080,78000,0.278,1.139,62.84,76100.878,-19.537,2.086,23.935,636899.147,115
1044,107,driving,1,3,3,41,95843,682,237,4375,7905,2695,673957,2000,arbiter,2000,1920,1080,1920x1080,80000,0.348,1.175,62.979,79695.897,-20.449,2.005,16.249,1051638.183,124
1045,107,driving,1,3,3,42,98080,763,236,4375,7557,2883,720811,2000,arbiter,2000,1920,1080,1920x1080,82000,0.328,1.212,63.168,83539.916,-21.834,2.017,18.552,987900.5021,132
1046,107,driving,1,3,3,43,100382,761,302,4375,8234,3133,783316,2000,arbiter,2000,1920,1080,1920x1080,84000,0.352,1.25,63.512,88109.935,-21.277,1.946,13.168,1087574.919,136
1047,107,driving,1,3,3,44,102794,906,412,4375,6704,3036,759245,2000,arbiter,2000,1920,1080,1920x1080,86000,31.84,1.289,63.913,93012.954,-20.241,1.922,16.799,962259.3458,138
1048,107,driving,1,3,3,45,105013,615,218,4375,8387,2579,644772,2000,arbiter,2000,1920,1080,1920x1080,88000,1.547,1.327,64.129,97135.973,-20.723,1.898,0.193,1092484.159,130
1049,107,driving,1,3,3,46,107528,935,515,4375,5476,2560,640089,2000,arbiter,2000,1920,1080,1920x1080,90000,21.556,1.366,64.453,101819.992,-20.221,1.859,10.973,725352.3041,142
1050,107,driving,1,3,3,47,109935,761,407,3918,6702,2550,637582,2000,arbiter,2000,1920,1080,1920x1080,92000,23.891,1.407,64.735,105848.815,-19.594,1.841,15.033,905200.2481,122
1051,107,driving,1,3,3,48,112393,811,457,4375,7031,2851,712828,2000,arbiter,2000,1920,1080,1920x1080,94000,16.846,1.445,64.924,109593.236,-19.788,1.843,9.544,941871.0323,133
1052,107,driving,1,3,3,49,115186,1063,793,3918,5917,3145,786277,2000,arbiter,2000,1920,1080,1920x1080,96000,25.978,1.484,65.301,114213.059,-18.965,1.808,5.543,794487.7801,190
1053,107,driving,1,3,3,50,118907,2045,1721,4375,3542,3622,905558,2000,arbiter,2000,1920,1080,1920x1080,98000,20.254,1.521,66.234,121923.48,-18.06,1.799,12.29,453954.1145,314
1054,107,driving,1,3,3,51,121253,609,345,4375,6932,2111,527767,2000,arbiter,2000,1920,1080,1920x1080,100000,0.351,1.558,66.172,124954.499,-18.238,1.786,0.23,934123.5791,130
1055,107,driving,1,3,3,52,123788,862,535,4375,2554,1100,275228,2000,arbiter,2000,1920,1080,1920x1080,102000,17.692,1.594,65.704,125771.518,-19.85,1.782,11.687,339812.5086,97
1056,107,driving,1,3,3,53,127117,1636,1328,3918,5064,4142,1035601,2000,arbiter,2000,1920,1080,1920x1080,104000,0.318,1.63,66.363,132182.341,-18.355,1.77,0.228,639999.827,229
1057,107,driving,1,3,3,54,129693,803,576,2422,9433,3787,946860,2000,arbiter,2000,1280,720,1280x720,106000,0.286,1.64,66.325,133231.654,-18.359,1.76,0.163,1200879.215,227
1058,107,driving,1,3,3,55,132533,860,839,2422,9703,4172,1043079,2000,arbiter,2000,1280,720,1280x720,108000,23.905,1.649,65.997,134187.021,-18.85,1.75,13.945,1301089.081,230
1059,107,driving,1,3,3,56,136321,2083,1788,2422,4885,5087,1271964,2000,arbiter,2000,1280,720,1280x720,110000,0.29,1.657,66.554,140245.388,-18.062,1.741,0.192,615720.1288,344
1060,107,driving,1,3,3,57,140491,2407,2170,2422,4101,4936,1234034,2000,arbiter,2000,1280,720,1280x720,112000,0.344,1.666,67.152,146660.755,-17.772,1.733,0.224,517669.6503,388
1061,107,driving,1,3,3,58,144172,1916,1680,2422,3961,3795,948797,2000,arbiter,2000,1280,720,1280x720,114000,0.329,1.675,67.015,148759.122,-17.807,1.726,0.126,499958.1182,293
1062,107,driving,1,3,3,59,146664,771,492,3091,8330,3211,802869,2000,arbiter,2000,1280,720,1280x720,116000,0.268,1.699,66.194,146147.489,-18.33,1.72,17.993,1081609.757,142
1063,107,driving,1,3,3,60,148726,315,61,3091,10294,1621,405345,2000,arbiter,2000,1280,720,1280x720,118000,3.19,1.722,65.432,144382.395,-22.719,1.711,14.982,1425481.437,80
1064,108,driving,2,3,1,1,182,182,0,239,93,8,2132,2000,arbiter,2000,320,180,320x180,0,79.361,0,51.077,-5760.485,0.24,1.878,22.641,82137.24463,2
1065,108,driving,2,3,1,2,3351,2357,0,239,279,329,82445,4000,arbiter,2000,320,180,320x180,2000,261.212,0.48,46.477,-11520.97,0.24,1.878,383.646,49133.52,32
1066,108,driving,2,3,1,3,7387,3436,36,239,272,468,117046,2000,arbiter,2000,320,180,320x180,4000,204.486,0.48,46.985,826.545,-23.76,1.811,303.962,39402.53594,47
1067,108,driving,2,3,1,4,11405,3394,2017,239,254,432,108123,2000,arbiter,2000,320,180,320x180,6000,397.016,0.48,65.809,7117.06,-19.839,1.629,381.738,40376.2377,41
1068,108,driving,2,3,1,5,15421,3376,2016,239,160,270,67720,2000,arbiter,2000,320,180,320x180,8000,242.277,0.48,74.96,13296.575,-19.81,1.545,279.139,23984.16259,25
1069,108,driving,2,3,1,6,19341,3278,1919,239,152,249,62348,2000,arbiter,2000,320,180,320x180,10000,17.096,0.48,68.709,13242.09,-19.822,1.493,140.986,20147.74801,23
1070,108,driving,2,3,1,7,22534,2548,1193,239,167,212,53248,2000,arbiter,2000,320,180,320x180,12000,118.011,0.48,61.129,11012.605,-19.851,1.461,164.426,22577.09972,20
1071,108,driving,2,3,1,8,23503,338,0,239,1092,184,46171,3032,arbiter,2000,320,180,320x180,14000,13.404,0.48,51.674,5495.12,-20.032,1.482,93.135,196091.8578,23
1072,108,driving,2,3,1,9,25372,1306,0,239,345,225,56343,3164,arbiter,2000,320,180,320x180,16000,18.261,0.48,46.477,2155.635,0.24,1.498,59.054,47045.21297,21
1073,108,driving,2,3,1,10,27277,1379,0,239,268,185,46325,3260,arbiter,2000,320,180,320x180,18000,270.693,0.48,46.477,2395.15,0.24,1.51,116.887,50254.9131,17
1074,108,driving,2,3,1,11,30221,2229,0,239,197,220,55018,2316,arbiter,2000,320,180,320x180,20000,13.209,0.48,46.477,2634.665,0.24,1.52,50.064,26977.83315,20
1075,108,driving,2,3,1,12,31554,567,0,239,735,208,52119,2983,arbiter,2000,320,180,320x180,22000,17.663,0.48,46.477,2874.18,0.24,1.53,26.397,146264.3775,27
1076,108,driving,2,3,1,13,34167,1939,0,239,186,181,45321,2371,arbiter,2000,320,180,320x180,24000,197.991,0.48,46.477,3113.695,0.24,1.536,142.106,28820.51191,17
1077,108,driving,2,3,1,14,36051,1189,0,239,212,126,31597,2487,arbiter,2000,320,180,320x180,26000,173.41,0.48,46.477,3353.21,0.24,1.543,152.928,37713.79805,18
1078,108,driving,2,3,1,15,37381,796,0,239,341,136,34006,3157,arbiter,2000,320,180,320x180,28000,199.848,0.48,46.477,3592.725,0.24,1.548,87.393,77235.87326,13
1079,108,driving,2,3,1,16,39474,1375,0,239,321,221,55270,3065,arbiter,2000,320,180,320x180,30000,319.178,0.48,46.477,3832.24,0.24,1.481,112.399,63400.08249,21
1080,108,driving,2,3,1,17,42370,2110,0,239,251,264,66235,2170,arbiter,2000,320,180,320x180,32000,18.697,0.48,46.477,4071.755,0.24,1.485,73.057,33049.1423,24
1081,108,driving,2,3,1,18,43690,502,0,378,1741,437,109279,2850,arbiter,2000,384,216,384x216,34000,0.198,0.44,46.628,4311.27,0.247,1.56,63.984,325101.5367,50
1082,108,driving,2,3,1,19,45674,1326,0,239,445,295,73833,2867,arbiter,2000,320,180,320x180,36000,18.872,0.441,46.625,4411.723,0.247,1.563,65.749,59760.0399,27
1083,108,driving,2,3,1,20,47717,1341,0,239,411,276,69054,2824,arbiter,2000,320,180,320x180,38000,95.429,0.442,46.623,4651.238,0.246,1.575,49.314,58971.94925,25
1084,108,driving,2,3,1,21,51078,2266,537,239,256,290,72601,2000,arbiter,2000,320,180,320x180,40000,17.578,0.442,47.379,6501.753,-21.451,1.527,41.811,33360.56002,27
1085,108,driving,2,3,1,22,54465,2576,1386,239,356,459,114859,2000,arbiter,2000,320,180,320x180,42000,172.626,0.443,49.205,10899.268,-20.222,1.491,137.058,51467.15515,41
1086,108,driving,2,3,1,23,55771,653,0,239,1197,391,97765,2695,arbiter,2000,320,180,320x180,44000,184.263,0.444,48.425,9527.783,-20.441,1.494,162.689,321308.8844,46
1087,108,driving,2,3,1,24,59018,2495,551,239,286,357,89481,2000,arbiter,2000,320,180,320x180,46000,153.094,0.444,47.291,7262.298,-21.663,1.467,100.749,40632.54191,32
1088,108,driving,2,3,1,25,61063,1270,45,239,478,303,75888,2000,arbiter,2000,320,180,320x180,48000,11.691,0.445,47.314,7636.813,-21.586,1.445,70.567,66888.77972,28
1089,108,driving,2,3,1,26,62801,742,0,239,753,279,69910,2263,arbiter,2000,320,180,320x180,50000,1.36,0.445,46.663,6223.328,128.816,1.447,45.815,113453.3783,26
1090,108,driving,2,3,1,27,65312,1193,248,378,802,478,119735,2000,arbiter,2000,384,216,384x216,52000,0.302,0.437,46.916,7071.843,-25.317,1.427,40.534,105940.9526,43
1091,108,driving,2,3,1,28,67830,1098,517,572,1275,700,175079,2000,arbiter,2000,512,288,512x288,54000,31.13,0.4,47.537,9001.42,-21.318,1.418,71.87,177381.6221,71
1092,108,driving,2,3,1,29,69774,1142,0,239,434,248,62010,2056,arbiter,2000,320,180,320x180,56000,34.82,0.4,47.278,8163.961,-22.267,1.423,44.606,59499.03101,23
1093,108,driving,2,3,1,30,71665,639,0,239,724,231,57894,2165,arbiter,2000,320,180,320x180,58000,55.991,0.401,46.751,6852.476,0.26,1.423,32.33,128940.076,21
1094,108,driving,2,3,1,31,74001,1391,170,239,247,172,43066,2000,arbiter,2000,320,180,320x180,60000,150.991,0.402,46.907,7601.991,-31.222,1.405,108.32,39966.3185,16
1095,108,driving,2,3,1,32,75887,977,0,378,693,338,84652,2115,arbiter,2000,384,216,384x216,62000,0.167,0.403,46.922,7841.506,-31.813,1.405,34.11,97368.07689,35
1096,108,driving,2,3,1,33,79244,2076,1242,572,592,614,153624,2000,arbiter,2000,512,288,512x288,64000,89.465,0.389,47.931,11436.083,-20.85,1.391,124.681,83574.43729,55
1097,108,driving,2,3,1,34,81608,805,364,378,430,173,43287,2000,arbiter,2000,384,216,384x216,66000,39.722,0.392,48.232,12712.748,-20.609,1.373,64.947,64717.17843,16
1098,108,driving,2,3,1,35,83617,886,8,378,727,322,80601,2000,arbiter,2000,384,216,384x216,68000,56.903,0.395,47.187,9389.325,-24.357,1.359,67.478,107702.1072,29
1099,108,driving,2,3,1,36,86113,918,495,572,635,291,72890,2000,arbiter,2000,512,288,512x288,70000,0.323,0.388,47.342,10160.902,-23.054,1.341,28.636,88904.88617,27
1100,108,driving,2,3,1,37,87938,420,0,572,1613,338,84694,2176,arbiter,2000,512,288,512x288,72000,1.231,0.384,47.379,10709.391,-23.221,1.343,29.107,244220.6257,37
1101,108,driving,2,3,1,38,90193,974,79,572,669,326,81567,2000,arbiter,2000,512,288,512x288,74000,38.262,0.382,47.101,10033.88,-526.365,1.334,69.441,95250.01834,30
1102,108,driving,2,3,1,39,92667,730,474,378,649,237,59250,2000,arbiter,2000,384,216,384x216,76000,12.187,0.385,47.466,11640.545,-22.981,1.321,49.912,89681.47334,22
1103,108,driving,2,3,1,40,94420,484,0,378,954,230,57717,2247,arbiter,2000,384,216,384x216,78000,12.977,0.389,47.413,11782.122,-23.755,1.321,30.845,175384.0565,21
1104,108,driving,2,3,1,41,95964,746,0,239,422,157,39391,2704,arbiter,2000,320,180,320x180,80000,149.797,0.389,47.054,10460.575,0.304,1.32,79.41,84848.43292,17
1105,108,driving,2,3,1,42,98395,675,0,378,702,237,59265,2274,arbiter,2000,384,216,384x216,82000,48.308,0.392,47.064,10700.09,0.306,1.32,67.149,107947.9777,22
1106,108,driving,2,3,1,43,100694,450,25,378,1075,241,60483,2000,arbiter,2000,384,216,384x216,84000,0.141,0.396,47.093,11153.667,8.504,1.311,30.504,146078.5824,22
